Root	Durative Theme Vowel	Preterite Theme Vowel	Glosses
rmk	u	u	bathe, wash oneself; (Gt) drench; (Š) cause to ~
rmm	u	u	roar, rumble (battle, storm, living entities, buildings)
rpd	u	u	roam, run away; wander; (D) keep moving
rpq	i	i	hoe; fix, nail, rivet, secure; (D) fasten
rpš	i	i	be(come) broad, wide; (D) give or define width; (Dt) be extended
rps	i	i	beat together, clap; thresh grain
rpt	a	u	(meaning unknown) ~ medicine
rpṭ	a	u	(meaning unknown) ~ medicine
rqd	u	u	dance, skip; hop; (D) make ~
rqq	a	a	(meaning unknown)
rsb	i	i	smite, strike down; trash; fell (criminals, enemies)
ršb	i	i	smite, strike down; trash; fell (criminals, enemies)
rṣd	i	i	spy; watch undetected; eavesdrop?
rsn	a	u	soak, steep; brew
rṣn	a	u	soak, steep; brew
rṣp	i	i	brick up, build, construct
rsp	i	i	smite, strike down; trash; fell (criminals, enemies)
ršš	u	u	to glow, radiate (with heat); (D) heat up (kiln, oven)
rṭp	u	u	begin work; have sexual intercourse
rtt	u	u	shiver, tremble, vibrate (of body)
šbb	a	u	proclaim
ṣbb	u	u	flutter (about); (D) spread wings; (Š) teach young birds to spread wings
šbh	a	u	sprinkle; (D)disperse(?)
sbk	i	i	I assail; attack; II interweave; (D) plait; seize
sbl	i	i	carry, haul, transport
ṣbl	i	i	carry, haul, transport
ṣbr	a	u	spin, whirl; (Š) make body spin
šbr	i	i	break (grain, bones, limbs, neck); (D) injure
šbs	a	u	gather; collect; (D) gather together
šbš	a	u	gather; collect; (D) gather together
sbṣ	i	i	clasp, enfold; (Gt) wrestle, grapple; (D) keep enfolded
šbṣ	i	i	clasp, enfold; (Gt) wrestle, grapple; (D) keep enfolded
sbs	u	u	be angry; (Š) make angry, antagonize
ṣbt	a	a	seize, grasp, clasp, grip; (D) enclose; (St2) make to gather; (N) litigate
ṣbṭ	a	a	seize, grasp, clasp, grip; (D) enclose; (St2) make to gather; (N) litigate
šbṭ	i	i	blast, hit, sweep; (N) be blasted by wind
šdd	a	u	pull, drag, haul, tug; stretch out; measure
šdh	i	i	march; walk, stride; (D) pass along
šdl	i	i	be(come) broad, wide; (D) widen, increase
sdr	a	u	put in order, arrange; do regularly, do usually
šgl	i	i	misappropriate
šgm	u	u	roar, thunder; resound; shout
šgn	u	u	roar, thunder; resound; shout
šgš	i	i	kill, murder, slay; mistreat; annihilate
šhh	u	u	disintegrate, erode; become loose (wool, teeth, hair); (D) waste flesh; corrode
shh	u	u	be terrified; (D) frighten
šhl	a	u	sift, sieve, filter
shl	a	u	pierce, prick (with weapon, sorcery, pain)
šhn	a	a	be warm; heat up
shp	a	u	cover, overwhelm, overthrow, envelop
šhr	a	u	marry(?)
shr	a	u	turn (intrans.), return, seek; (Š) surround
ṣhr	i	i	be small, be young; (D) deplete, reduce
šhṭ	a	u	strip, tear off, take off; flay; shake off
ṣht	a	u	press (out), squeeze (wine, oil, juice); blackmail
šht	a	u	wash off, rinse; (D) wash down (food by drinking); (Š) be cleared of obligations
skk	a	a	block; be blocked; be impenetrable; (Dt) be blocked (of ears)
škk	a	u	harrow; thread on string
škl	a	u	(meaning unknown)
skl	i	i	I acquire, hoard; appropriate; II balk, be shy
škn	a	u	place, set, put, establish, found; pronounce; issue
skn	i	i	care for; (D) settle, keep settled
skp	i	i	overturn, overthrow; push down, away; (D) reject
škr	i	i	be drunk, be inebriated
skr	i	i	I dam, block (a river or canal); (Ntn) be persistently blocked (urine); II refine (metals), gild
škš	i	i	kill, murder, slay; mistreat; annihilate
šks	u	u	dry out; (D) dry off
škt	i	i	(meaning unknown)
skt	u	u	be silent, perch; (D) tranquilize
sld	i	i	slit, slice; cut in half; (D) trim away
šlg	a	a	snow
šlh	a	u	I pull out, take out, retrieve; II dispatch, send off; II carry off (as booty), plunder
slh	a	u	sprinkle, spatter, rain; shed tears
ṣll	a	a	lie asleep, fall asleep, remain inactive; lie (sexually)
slm	a	a	be at or make peace; capitulate, become reconciled; (D) propitiate, conciliate
ṣlm	i	i	be black; (D) blacken; (Dt) become obscured (of planets, stars)
šlm	i	i	become whole, become sound; be(come) healthy
šlp	a	u	pull out, tear out, extract; (D) take away; (N) be pulled out (of tongue)
ṣlp	i	i	cut (at an angle), dissect; dissect; (D) cut into portions
slq	a	u	boil
šlq	a	u	cut, slit open; lacerate
šlš	a	u	do for a third time; do three times
slt	a	a	slit, slice; cut in half; (D) trim away
šlṭ	a	u	cut into (earth, foot)
slṭ	i	i	slit, slice; cut in half; (D) trim away
šmd	i	i	apply
ṣmd	i	i	hitch, make ready, yoke, harness; (Š) hitch horse to chariot
smd	u	u	grind (finely)
smh	a	u	merge, mingle; (D) mix, confuse; give share; (Dtt) receive share
šmh	u	u	I grow abundantly; flourish; (D) make flourish; II break an agreement
smk	a	u	I bury; cover up (D) incapacitate; II be bad (D) treat harshly
šmk	u	u	I grow abundantly; flourish; (D) make flourish; II break an agreement
šmm	a	u	injure; lame, paralyze, numb
smr	i	i	set aside, separate
šmr	u	u	be wild, fierce, furious; (Š) make rage
smš	a	u	hide; (D) conceal
šmṭ	a	u	pluck out, brush off
šmt	i	i	mark ownership; brand (slaves, cattle); paint
snb	i	i	tie on (weapon, hair pin)
ṣnh	a	u	excrete, have diarrhea
šnh	a	u	block; stifle; (D) suffuse
šnn	a	u	rival, equal, vie; oppose
snp	i	i	tie on (weapon, hair pin)
snq	i	i	approach, come close; set off to; (D) check, control; torture, inflict agony (Š) make to reach
šnq	i	i	approach, come close; set off to; (D) check, control; torture, inflict agony (Š) make to reach
šnṣ	i	i	sneer (at), scorn, scoff
sns	i	i	thrust in; drive in
snš	i	i	thrust in; drive in
šnš	i	i	thrust in; drive in
spd	i	i	mourn; (Š) cause to ~
sph	a	u	disperse, ruin, destroy, catter, spill; (D) squander
ṣph	a	u	disperse, ruin, destroy, catter, spill; (D) squander
šph	a	u	disperse, ruin, destroy, scatter, spill; (D) squander
špk	a	u	pour on, stack, pile up, heap up
špl	i	i	be low, be humble; (D) dig deep; (Š) abase
spn	a	u	level, deface, flatten; (Š) cause to overthrow
ṣpp	u	u	flutter (about); (D) spread wings; (Š) teach young birds to spread wings
spq	i	i	suffice, be enough; be strong enough (of garrison)
ṣpr	a	a	press down, inlay, inset; wink (eye)
špr	a	u	send, dispatch, write; (Št) govern
spr	i	i	write in Aramaic script
špṣ	i	i	clasp, enfold; (Gt) wrestle, grapple; (D) keep enfolded
šps	i	i	clasp, enfold; (Gt) wrestle, grapple; (D) keep enfolded
špṭ	a	u	issue strict orders; reprimand
šql	a	u	weigh (out), measure, pay; balance
sql	a	u	take away, kidnap (a person from someone)
sqp	a	u	fix upright; impale (human on stake); crucify; plant; (N) be set up
sqr	a	a	project, build high, be high, culminate
šqr	i	i	pierce (of arrow)
srd	i	i	pack, tie up
ṣrd	i	i	fart, break wind; (D) fart chronically
ṣrh	a	u	be hot, be feverish; (D) keep warm (horse); (Ntn) have chronic fever
srh	i	i	ruin, destroy, demolish
šrh	u	u	be glorious, splendid; (D) make proud; (Dtn) praise repeatedly
šrk	a	u	give, present, bestow, endow
šrm	a	u	cut, cut size, trim
ṣrm	i	i	endeavor, make an effort
srm	i	i	cut open (roof, skull)
ṣrp	a	u	I refine (metals), fire or bake (bricks); dye (red); (D ~ G) torture by burning
